id;date;east_UTM;north_UTM;forecast
;;m;m; 
V;V;R;R;R+
;;;; 
id_pluv;date;x_coord_UTM;y_coord_UTM;cumulative
;;;; 
4378780076121;090320181800;388411.71;4849436.97;0.021
4379330076189;090320181800;388969.04;4850038.69;0.021
4382270077862;090320181800;402476.81;4853093.05;0.02
4382760076985;090320181800;395433.07;4853744.48;0.043
4383100075432;090320181800;382952.42;4854330.3;0.052
4384600076210;090320181800;389235.56;4855889.08;0.094
4385260079286;090320181800;413970.76;4856255.79;0.039
4387180102403;090320181800;599737.63;4858578.04;0.1052
4387320075448;090320181800;383163.55;4859015.08;0.041
4387960080165;090320181800;421071.27;4859166.82;0.038
4387970077739;090320181800;401581.59;4859438.45;0.025
4388860076018;090320181800;387772.24;4860646.47;0.025
4389590102419;090320181800;599825.96;4861256.7;0.001
4390460077333;090320181800;398362.29;4862253.23;0.019
4390590079515;090320181800;415886.42;4862152.08;0.091
4391860076945;090320181800;395271.07;4863856.69;0.037
4391990080677;090320181800;425235.05;4863595.16;0.036
4393070078420;090320181800;407131.97;4865024;0.027
4393330080007;090320181800;419874.09;4865146.37;0.023
4393960076081;090320181800;388373.75;4866302.42;0.023
4396140076850;090320181800;394584.09;4868622.53;0.145
4397240101848;090320181800;595118.02;4869686.08;0.002
4397710079532;090320181800;416123.2;4870058.41;0.07
4397920081036;090320181800;428188.73;4870149.6;0.025
4398130078667;090320181800;409191.77;4870616.57;0.051
4398150076998;090320181800;395806.64;4870836.21;0.096
4399180102519;090320181800;600467.59;4871920.31;0.001
4399290102094;090320181800;597057.87;4871991.63;0.001
4399450077624;090320181800;400848.85;4872202.89;0.019
4400620081693;090320181800;433488.28;4873093.31;0.022
4400650080352;090320181800;422738.3;4873243.67;0.051
4402370102285;090320181800;598538.43;4875435.22;0.001
4403010101718;090320181800;593984.19;4876079.91;0.001
4403910102463;090320181800;599939.12;4877167.12;0.002
4404200077934;090320181800;403411.74;4877441.88;0.424
4404420077211;090320181800;397622.93;4877773.6;0.033
4404520100601;090320181800;585011.56;4877635.88;0.251
4404630101118;090320181800;589151.82;4877812.64;0.217
4404780101100;090320181800;589005.38;4877977.3;0.049
4404880082108;090320181800;436860.49;4877792.21;0.045
4404950079147;090320181800;413141.12;4878139.76;0.221
4405020100141;090320181800;581319.46;4878144.85;0.085
4405200098359;090320181800;567042.27;4878184.52;0.028
4405690101742;090320181800;594134.1;4879059.33;0.007
4405720080413;090320181800;423292.81;4878869.21;0.043
4405760102075;090320181800;596800.24;4879175.64;0.001
4405830101682;090320181800;593651.3;4879208;0.141
4406390078664;090320181800;409293.88;4879791.28;0.234
4406390099723;090320181800;577953.01;4879626.15;0.014
4406390100817;090320181800;586714.76;4879735.39;0.06
4406510100767;090320181800;586312.57;4879863.43;0.063
4406540080043;090320181800;420340.19;4879815.14;0.035
4406880081796;090320181800;434383.2;4880038.02;0.028
4406940077306;090320181800;398427.16;4880560.81;0.011
4407130099384;090320181800;575228.62;4880416.59;0.022
4407490100090;090320181800;580877.31;4880883.28;0.047
4407680081342;090320181800;430756.8;4880963.8;0.102
4408050081582;090320181800;432682.72;4881354.84;0.039
4408320078733;090320181800;409875.82;4881927.37;0.18
4408380101288;090320181800;590456.67;4881996.31;0.036
4408940101794;090320181800;594498.92;4882675.09;0.008
4409110101034;090320181800;588412.22;4882779.57;0.001
4409400101707;090320181800;593795.17;4883176.08;0.213
4409450098097;090320181800;564897.11;4882884.06;0.048
4409470098094;090320181800;564872.88;4882906.04;0.008
4410330099305;090320181800;574555.83;4883963.68;0.013
4410380100070;090320181800;580677.9;4884091.27;0.129
4410630097348;090320181800;558889.84;4884138.46;0.017
4410700098282;090320181800;566364.03;4884287.18;0.019
4411230099655;090320181800;577345.37;4884995.58;0.091
4411600101040;090320181800;588423.16;4885545.89;0.002
4411780078675;090320181800;409464.32;4885776.81;0.009
4412280079965;090320181800;419793.22;4886198.21;0.073
4412750077292;090320181800;398414.67;4887015.8;0.006
4412780100003;090320181800;580109.27;4886750.45;0.075
4412950098689;090320181800;569594.9;4886819.87;0.03
4413200081189;090320181800;429597.33;4887107.93;0.019
4413250097903;090320181800;563303.66;4887089.68;0.029
4413490101972;090320181800;595850.38;4887749.42;0.003
4413800099062;090320181800;572568.52;4887796.17;0.042
4414440081634;090320181800;433171.21;4888448.06;0.05
4414660082624;090320181800;441091.46;4888616.65;0.104
4414820081645;090320181800;433263.48;4888869.24;0.086
4414830096402;090320181800;551282.55;4888740.23;0.029
4415320097637;090320181800;561154.41;4889368.77;0.04
4415590100333;090320181800;582710.16;4889904.2;0.18
4416170075908;090320181800;387407.26;4890994.82;0.001
4416400082200;090320181800;437718.75;4890580.59;0.039
4416910101500;090320181800;592021.57;4891494.24;0.229
4417090102082;090320181800;596671.56;4891760.9;0.221
4417140096068;090320181800;548592.46;4891285.75;0.02
4417750080444;090320181800;423696.27;4892228.24;0.011
4417890096187;090320181800;549537.52;4892125.88;0.096
4418990097150;090320181800;557224.5;4893410.12;0.032
4419310077331;090320181800;398838.95;4894297.36;0.001
4419320083788;090320181800;450439.92;4893715.73;0.053
4419420074894;090320181800;379365.9;4894748.67;0.004
4419510097710;090320181800;561694.54;4894028.16;0.032
4419570083020;090320181800;444304.86;4894042.67;0.033
4419800098490;090320181800;567924.33;4894411.7;0.024
4420310082933;090320181800;443616.7;4894870.55;0.103
4421090101163;090320181800;589264.29;4896099.96;0.209
4421110079444;090320181800;415750.63;4896058.07;0.027
4421360095403;090320181800;543245.38;4895935.93;0.046
4422000078328;090320181800;406848.9;4897167.24;0.005
4422200099000;090320181800;571970.44;4897120.83;0.124
4422670099667;090320181800;577291.99;4897703.41;0.08
4422890100683;090320181800;585403.53;4898048.3;0.038
4423130097155;090320181800;557224.42;4898008.9;0.018
4423230082024;090320181800;436385.19;4898180.37;0.163
