id;date;east_UTM;north_UTM;forecast
;;m;m; 
V;V;R;R;R+
;;;; 
id_pluv;date;x_coord_UTM;y_coord_UTM;cumulative
;;;; 
4378780076121;110320180600;388411.71;4849436.97;0.864
4379330076189;110320180600;388969.04;4850038.69;0.886
4382270077862;110320180600;402476.81;4853093.05;0.903
4382760076985;110320180600;395433.07;4853744.48;0.892
4383100075432;110320180600;382952.42;4854330.3;0.922
4384600076210;110320180600;389235.56;4855889.08;0.384
4385260079286;110320180600;413970.76;4856255.79;0.924
4387180102403;110320180600;599737.63;4858578.04;0.355
4387320075448;110320180600;383163.55;4859015.08;0.833
4387960080165;110320180600;421071.27;4859166.82;0.888
4387970077739;110320180600;401581.59;4859438.45;0.809
4388860076018;110320180600;387772.24;4860646.47;0.766
4389590102419;110320180600;599825.96;4861256.7;0.347
4390460077333;110320180600;398362.29;4862253.23;0.708
4390590079515;110320180600;415886.42;4862152.08;0.942
4391860076945;110320180600;395271.07;4863856.69;0.778
4391990080677;110320180600;425235.05;4863595.16;0.9
4393070078420;110320180600;407131.97;4865024;0.773
4393330080007;110320180600;419874.09;4865146.37;0.875
4393960076081;110320180600;388373.75;4866302.42;0.754
4396140076850;110320180600;394584.09;4868622.53;0.145
4397240101848;110320180600;595118.02;4869686.08;0.334
4397710079532;110320180600;416123.2;4870058.41;0.788
4397920081036;110320180600;428188.73;4870149.6;0.845
4398130078667;110320180600;409191.77;4870616.57;0.832
4398150076998;110320180600;395806.64;4870836.21;0.797
4399180102519;110320180600;600467.59;4871920.31;0.418
4399290102094;110320180600;597057.87;4871991.63;0.355
4399450077624;110320180600;400848.85;4872202.89;0.706
4400620081693;110320180600;433488.28;4873093.31;0.826
4400650080352;110320180600;422738.3;4873243.67;0.844
4402370102285;110320180600;598538.43;4875435.22;0.427
4403010101718;110320180600;593984.19;4876079.91;0.382
4403910102463;110320180600;599939.12;4877167.12;0.371
4404200077934;110320180600;403411.74;4877441.88;0.844
4404420077211;110320180600;397622.93;4877773.6;0.749
4404520100601;110320180600;585011.56;4877635.88;0.673
4404630101118;110320180600;589151.82;4877812.64;0.606
4404780101100;110320180600;589005.38;4877977.3;0.049
4404880082108;110320180600;436860.49;4877792.21;0.906
4404950079147;110320180600;413141.12;4878139.76;0.733
4405020100141;110320180600;581319.46;4878144.85;0.506
4405200098359;110320180600;567042.27;4878184.52;0.624
4405690101742;110320180600;594134.1;4879059.33;0.007
4405720080413;110320180600;423292.81;4878869.21;0.805
4405760102075;110320180600;596800.24;4879175.64;0.458
4405830101682;110320180600;593651.3;4879208;0.584
4406390078664;110320180600;409293.88;4879791.28;0.684
4406390099723;110320180600;577953.01;4879626.15;0.014
4406390100817;110320180600;586714.76;4879735.39;0.06
4406510100767;110320180600;586312.57;4879863.43;0.063
4406540080043;110320180600;420340.19;4879815.14;0.792
4406880081796;110320180600;434383.2;4880038.02;0.857
4406940077306;110320180600;398427.16;4880560.81;0.659
4407130099384;110320180600;575228.62;4880416.59;0.582
4407490100090;110320180600;580877.31;4880883.28;0.601
4407680081342;110320180600;430756.8;4880963.8;0.334
4408050081582;110320180600;432682.72;4881354.84;0.776
4408320078733;110320180600;409875.82;4881927.37;0.778
4408380101288;110320180600;590456.67;4881996.31;0.039
4408940101794;110320180600;594498.92;4882675.09;0.008
4409110101034;110320180600;588412.22;4882779.57;0.385
4409400101707;110320180600;593795.17;4883176.08;0.628
4409450098097;110320180600;564897.11;4882884.06;0.749
4409470098094;110320180600;564872.88;4882906.04;0.008
4410330099305;110320180600;574555.83;4883963.68;0.013
4410380100070;110320180600;580677.9;4884091.27;0.611
4410630097348;110320180600;558889.84;4884138.46;0.649
4410700098282;110320180600;566364.03;4884287.18;0.636
4411230099655;110320180600;577345.37;4884995.58;0.572
4411600101040;110320180600;588423.16;4885545.89;0.398
4411780078675;110320180600;409464.32;4885776.81;0.694
4412280079965;110320180600;419793.22;4886198.21;0.871
4412750077292;110320180600;398414.67;4887015.8;0.642
4412780100003;110320180600;580109.27;4886750.45;0.075
4412950098689;110320180600;569594.9;4886819.87;0.03
4413200081189;110320180600;429597.33;4887107.93;0.721
4413250097903;110320180600;563303.66;4887089.68;0.743
4413490101972;110320180600;595850.38;4887749.42;0.368
4413800099062;110320180600;572568.52;4887796.17;0.617
4414440081634;110320180600;433171.21;4888448.06;0.05
4414660082624;110320180600;441091.46;4888616.65;0.325
4414820081645;110320180600;433263.48;4888869.24;0.086
4414830096402;110320180600;551282.55;4888740.23;0.601
4415320097637;110320180600;561154.41;4889368.77;0.726
4415590100333;110320180600;582710.16;4889904.2;0.579
4416170075908;110320180600;387407.26;4890994.82;0.555
4416400082200;110320180600;437718.75;4890580.59;0.804
4416910101500;110320180600;592021.57;4891494.24;0.418
4417090102082;110320180600;596671.56;4891760.9;0.362
4417140096068;110320180600;548592.46;4891285.75;0.601
4417750080444;110320180600;423696.27;4892228.24;0.578
4417890096187;110320180600;549537.52;4892125.88;0.321
4418990097150;110320180600;557224.5;4893410.12;0.694
4419310077331;110320180600;398838.95;4894297.36;0.393
4419320083788;110320180600;450439.92;4893715.73;0.822
4419420074894;110320180600;379365.9;4894748.67;0.305
4419510097710;110320180600;561694.54;4894028.16;0.582
4419570083020;110320180600;444304.86;4894042.67;0.739
4419800098490;110320180600;567924.33;4894411.7;0.643
4420310082933;110320180600;443616.7;4894870.55;0.103
4421090101163;110320180600;589264.29;4896099.96;0.408
4421110079444;110320180600;415750.63;4896058.07;0.564
4421360095403;110320180600;543245.38;4895935.93;0.666
4422000078328;110320180600;406848.9;4897167.24;0.579
4422200099000;110320180600;571970.44;4897120.83;0.708
4422670099667;110320180600;577291.99;4897703.41;0.08
4422890100683;110320180600;585403.53;4898048.3;0.038
4423130097155;110320180600;557224.42;4898008.9;0.578
4423230082024;110320180600;436385.19;4898180.37;0.622
