"id";"date";"lat";"lon";"forecast"
"4378780076121";"110320181500";"388411.71";"4849436.97";"0.893"
"4379330076189";"110320181500";"388969.04";"4850038.69";"0.915"
"4382270077862";"110320181500";"402476.81";"4853093.05";"0.972"
"4382760076985";"110320181500";"395433.07";"4853744.48";"0.939"
"4383100075432";"110320181500";"382952.42";"4854330.3";"0.989"
"4384600076210";"110320181500";"389235.56";"4855889.08";"0.454"
"4385260079286";"110320181500";"413970.76";"4856255.79";"0.979"
"4387180102403";"110320181500";"599737.63";"4858578.04";"0.817"
"4387320075448";"110320181500";"383163.55";"4859015.08";"0.997"
"4387960080165";"110320181500";"421071.27";"4859166.82";"0.98"
"4387970077739";"110320181500";"401581.59";"4859438.45";"0.966"
"4388860076018";"110320181500";"387772.24";"4860646.47";"0.968"
"4389590102419";"110320181500";"599825.96";"4861256.7";"0.769"
"4390460077333";"110320181500";"398362.29";"4862253.23";"0.936"
"4390590079515";"110320181500";"415886.42";"4862152.08";"0.995"
"4391860076945";"110320181500";"395271.07";"4863856.69";"0.945"
"4391990080677";"110320181500";"425235.05";"4863595.16";"0.982"
"4393070078420";"110320181500";"407131.97";"4865024";"0.951"
"4393330080007";"110320181500";"419874.09";"4865146.37";"0.985"
"4393960076081";"110320181500";"388373.75";"4866302.42";"0.971"
"4396140076850";"110320181500";"394584.09";"4868622.53";"0.145"
"4397240101848";"110320181500";"595118.02";"4869686.08";"0.653"
"4397710079532";"110320181500";"416123.2";"4870058.41";"0.961"
"4397920081036";"110320181500";"428188.73";"4870149.6";"0.962"
"4398130078667";"110320181500";"409191.77";"4870616.57";"0.976"
"4398150076998";"110320181500";"395806.64";"4870836.21";"0.975"
"4399180102519";"110320181500";"600467.59";"4871920.31";"0.748"
"4399290102094";"110320181500";"597057.87";"4871991.63";"0.67"
"4399450077624";"110320181500";"400848.85";"4872202.89";"0.926"
"4400620081693";"110320181500";"433488.28";"4873093.31";"0.949"
"4400650080352";"110320181500";"422738.3";"4873243.67";"0.971"
"4402370102285";"110320181500";"598538.43";"4875435.22";"0.744"
"4403010101718";"110320181500";"593984.19";"4876079.91";"0.706"
"4403910102463";"110320181500";"599939.12";"4877167.12";"0.605"
"4404200077934";"110320181500";"403411.74";"4877441.88";"0.955"
"4404420077211";"110320181500";"397622.93";"4877773.6";"0.972"
"4404520100601";"110320181500";"585011.56";"4877635.88";"0.99"
"4404630101118";"110320181500";"589151.82";"4877812.64";"0.927"
"4404780101100";"110320181500";"589005.38";"4877977.3";"0.049"
"4404880082108";"110320181500";"436860.49";"4877792.21";"0.981"
"4404950079147";"110320181500";"413141.12";"4878139.76";"0.928"
"4405020100141";"110320181500";"581319.46";"4878144.85";"0.785"
"4405200098359";"110320181500";"567042.27";"4878184.52";"0.91"
"4405690101742";"110320181500";"594134.1";"4879059.33";"0.007"
"4405720080413";"110320181500";"423292.81";"4878869.21";"0.964"
"4405760102075";"110320181500";"596800.24";"4879175.64";"0.795"
"4405830101682";"110320181500";"593651.3";"4879208";"0.908"
"4406390078664";"110320181500";"409293.88";"4879791.28";"0.881"
"4406390099723";"110320181500";"577953.01";"4879626.15";"0.014"
"4406390100817";"110320181500";"586714.76";"4879735.39";"0.06"
"4406510100767";"110320181500";"586312.57";"4879863.43";"0.063"
"4406540080043";"110320181500";"420340.19";"4879815.14";"0.942"
"4406880081796";"110320181500";"434383.2";"4880038.02";"0.974"
"4406940077306";"110320181500";"398427.16";"4880560.81";"0.854"
"4407130099384";"110320181500";"575228.62";"4880416.59";"0.901"
"4407490100090";"110320181500";"580877.31";"4880883.28";"0.937"
"4407680081342";"110320181500";"430756.8";"4880963.8";"0.447"
"4408050081582";"110320181500";"432682.72";"4881354.84";"0.963"
"4408320078733";"110320181500";"409875.82";"4881927.37";"0.94"
"4408380101288";"110320181500";"590456.67";"4881996.31";"0.042"
"4408940101794";"110320181500";"594498.92";"4882675.09";"0.008"
"4409110101034";"110320181500";"588412.22";"4882779.57";"0.757"
"4409400101707";"110320181500";"593795.17";"4883176.08";"0.923"
"4409450098097";"110320181500";"564897.11";"4882884.06";"0.957"
"4409470098094";"110320181500";"564872.88";"4882906.04";"0.008"
"4410330099305";"110320181500";"574555.83";"4883963.68";"0.013"
"4410380100070";"110320181500";"580677.9";"4884091.27";"0.954"
"4410630097348";"110320181500";"558889.84";"4884138.46";"0.921"
"4410700098282";"110320181500";"566364.03";"4884287.18";"0.809"
"4411230099655";"110320181500";"577345.37";"4884995.58";"0.907"
"4411600101040";"110320181500";"588423.16";"4885545.89";"0.673"
"4411780078675";"110320181500";"409464.32";"4885776.81";"0.886"
"4412280079965";"110320181500";"419793.22";"4886198.21";"0.973"
"4412750077292";"110320181500";"398414.67";"4887015.8";"0.873"
"4412780100003";"110320181500";"580109.27";"4886750.45";"0.075"
"4412950098689";"110320181500";"569594.9";"4886819.87";"0.03"
"4413200081189";"110320181500";"429597.33";"4887107.93";"0.885"
"4413250097903";"110320181500";"563303.66";"4887089.68";"0.954"
"4413490101972";"110320181500";"595850.38";"4887749.42";"0.732"
"4413800099062";"110320181500";"572568.52";"4887796.17";"0.857"
"4414440081634";"110320181500";"433171.21";"4888448.06";"0.05"
"4414660082624";"110320181500";"441091.46";"4888616.65";"0.413"
"4414820081645";"110320181500";"433263.48";"4888869.24";"0.086"
